NAME,TotalPop,White_NonHisp,Black,Asian,Hispanic,MedianIncome,BelowPoverty,BachelorsOrHigher,Male_Under18,Female_Under18,Male_18_34,Female_18_34,Male_35_64,Female_35_64,Male_65plus,Female_65plus,LaborForce,Unemployed,NoHealthInsurance,MedianRent,STATE,COUNTY,TRACT,TRACT_FIPS
Census Tract 3301.03; Cook County; Illinois,8851,5093,2018,1019,510,122957,1196,3786,401,0,41,0,304,73,16,0,6364,226,0,2163,17,031,330103,17031330103
Census Tract 3302; Cook County; Illinois,4036,1845,937,724,281,140556,356,1001,124,216,10,20,28,13,31,20,2212,89,0,1281,17,031,330200,17031330200
Census Tract 3403; Cook County; Illinois,1751,256,0,1061,425,50543,234,278,158,0,0,6,56,26,0,24,751,37,0,995,17,031,340300,17031340300
Census Tract 3404; Cook County; Illinois,1709,398,159,902,72,41125,455,243,4,75,6,14,28,36,74,19,752,63,0,1547,17,031,340400,17031340400
Census Tract 3405; Cook County; Illinois,1613,781,89,564,127,61018,539,309,14,17,0,0,34,72,32,29,730,18,0,621,17,031,340500,17031340500
Census Tract 3406; Cook County; Illinois,1473,95,1242,77,0,20588,809,35,52,62,0,10,75,56,0,37,591,163,0,417,17,031,340600,17031340600
Census Tract 3501; Cook County; Illinois,2566,147,606,1657,0,65000,634,810,56,0,0,0,197,115,0,12,1518,72,0,1389,17,031,350100,17031350100
Census Tract 3504; Cook County; Illinois,1615,0,1429,0,62,20938,858,47,49,86,20,0,23,33,0,4,603,132,7,588,17,031,350400,17031350400
Census Tract 3510; Cook County; Illinois,3867,103,2821,464,169,61347,711,640,119,109,53,0,139,127,18,94,2458,205,12,1295,17,031,351000,17031351000
Census Tract 3511; Cook County; Illinois,2150,0,1849,0,232,19913,1130,120,129,73,0,57,28,24,0,0,890,359,36,525,17,031,351100,17031351100
Census Tract 3514; Cook County; Illinois,1642,112,1040,0,203,30542,481,85,55,0,62,39,24,181,0,15,676,109,38,937,17,031,351400,17031351400
Census Tract 3515; Cook County; Illinois,916,87,653,59,108,65938,288,70,0,42,0,28,15,15,7,23,578,113,0,1467,17,031,351500,17031351500
Census Tract 3602; Cook County; Illinois,1868,18,1783,9,0,28456,863,104,119,16,28,29,0,0,2,33,863,236,63,943,17,031,360200,17031360200
Census Tract 3801; Cook County; Illinois,1896,128,1688,1,53,79734,350,304,0,51,0,0,0,0,2,84,1070,142,0,528,17,031,380100,17031380100
Census Tract 3802; Cook County; Illinois,1798,248,1404,0,13,18690,809,255,0,35,0,28,0,53,31,0,512,13,0,498,17,031,380200,17031380200
Census Tract 3806; Cook County; Illinois,5236,708,3545,76,126,35804,1661,717,468,272,85,71,0,240,0,48,2708,458,155,1285,17,031,380600,17031380600
Census Tract 3812; Cook County; Illinois,2064,63,1907,0,28,53750,422,417,112,65,0,0,0,0,22,33,1041,145,15,1169,17,031,381200,17031381200
Census Tract 3814; Cook County; Illinois,1697,15,1491,0,165,44399,526,107,21,41,93,20,9,0,0,0,879,226,76,1406,17,031,381400,17031381400
Census Tract 3815; Cook County; Illinois,680,20,635,3,8,25019,285,69,5,7,6,0,21,0,0,58,268,65,0,930,17,031,381500,17031381500
Census Tract 3817; Cook County; Illinois,0,0,0,0,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,-666666666,17,031,381700,17031381700
Census Tract 3818; Cook County; Illinois,1514,29,1350,5,46,49671,218,252,17,54,42,0,29,33,0,13,919,133,17,1139,17,031,381800,17031381800
Census Tract 3819; Cook County; Illinois,1289,280,968,0,41,65506,253,191,22,22,66,18,19,0,0,0,737,210,9,871,17,031,381900,17031381900
Census Tract 3901; Cook County; Illinois,1757,194,1287,79,78,-666666666,200,161,59,113,0,18,66,60,39,7,888,148,0,979,17,031,390100,17031390100
